Similarity,Member A,Member B
0.34298657981841546,ξηροτυρη-αικατεριναρη γεωργιου ασημινα,σιουφας γεωργιου δημητριος
0.34219715972247955,κοντος ευστρατιου αλεξανδρος,μπασιακος αθανασιου ευαγγελος
0.3421271625048729,μελας ιωαννη παναγιωτης,ξανθος γεωργιου ανδρεας
0.34164093870670253,νικολαιδου αρισταρχου βαρβαρα (βερα),νιωτης δημητριου γρηγοριος
0.34144359263285984,γειτονας ιωαννη κωνσταντινος,καραμανλης αλεξανδρου κωνσταντινος
0.3402799249563618,αλαβανος νικολαου αλεξανδρος,γιαννοπουλος λαμπρου αθανασιος
0.33780688717841395,δραγασακης ανδρεα ιωαννης,σιουφας γεωργιου δημητριος
0.33692024583305513,αργυρης ιωαννη ευαγγελος,μπασιακος αθανασιου ευαγγελος
0.3357515742274057,γεωργιος παπακωνσταντινου,μωραιτης χρηστου αθανασιος (θανος)
0.33561321660874666,γιαννοπουλος λαμπρου αθανασιος,ξανθος γεωργιου ανδρεας
0.33499041387690776,πανουσης αποστολου ιωαννης,ραγιου-μεντζελοπουλου θεοφανη αναστασια (νατασα)
0.33409192689757977,κουτσουμπας αποστολου δημητριος,τζεκης κωνσταντινου αγγελος
0.33331695180211446,αλαβανος νικολαου αλεξανδρος,λεβεντης σωτηριου αθανασιος
0.33328582753851577,αβραμοπουλος λαμπρου δημητριος,καραμανλης αλεξανδρου κωνσταντινος
0.3328339272500775,καραμανλης αλεξανδρου κωνσταντινος,φωλιας σωτηριου χρηστος
0.3324478270431539,καραμανλης αλεξανδρου κωνσταντινος,λαφαζανης γεωργιου παναγιωτης
0.33216828809710097,νασιωκας παναγιωτη εκτορας,ξανθος γεωργιου ανδρεας
0.3305059037593654,γειτονας ιωαννη κωνσταντινος,ξηροτυρη-αικατεριναρη γεωργιου ασημινα
0.3304181782006416,λαφαζανης γεωργιου παναγιωτης,τζεκης κωνσταντινου αγγελος
0.3294978030498057,καραμανλης αλεξανδρου κωνσταντινος,καραογλου γεωργιου θεοδωρος
0.3294296108539339,ξηροτυρη-αικατεριναρη γεωργιου ασημινα,παυλοπουλος βασιλειου προκοπιος
0.32915724703429133,τραγακης παναγιωτη ιωαννης,φραγκος αναστασιου δημητριος
0.32690285137883496,γειτονας ιωαννη κωνσταντινος,κακλαμανης χρηστου αποστολος
0.326900607518038,βρεττου σπυριδωνα αγαθη (ροζα),ραπτη γεωργιου ζωη
0.3267629402329789,ζαννας γρηγοριου ζησης,κεφαλογιαννης αχιλλεα ιωαννης
0.32634086388714906,κεδικογλου αγγελου συμεων,ραπτη γεωργιου ζωη
0.32538165077580194,ξανθος γεωργιου ανδρεας,πολακης πετρου παυλος
0.3248392693584255,γειτονας ιωαννη κωνσταντινος,δραγασακης ανδρεα ιωαννης
0.3242703326088467,θεοχαροπουλος στεφανου αθανασιος,τζουφη στεφανου μεροπη
0.32297284893094097,ζηση αθανασιου ροδουλα,νιωτης δημητριου γρηγοριος
0.32289179609833196,μαχαιρα ανδρεα μαρια,παπαθανασιου δημητριου γιαννης
0.3227368219172323,βυζοβιτης κωνσταντινου χρηστος,τσαλδαρης κωνσταντινου αθανασιος
0.32100249277998205,σιουφας γεωργιου δημητριος,φωλιας σωτηριου χρηστος
0.31944440357199155,αβραμακης αντωνιου ελευθεριος,λαμπρουλης αριστειδη γεωργιος
0.318109751548213,γειτονας ιωαννη κωνσταντινος,λαμπρουλης αριστειδη γεωργιος
0.3176281093231618,γειτονας ιωαννη κωνσταντινος,παυλοπουλος βασιλειου προκοπιος
