Cluster_ID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
0,0.33325165919371574,-0.03784529669345167,-0.008948726991901563,0.04016758101850657,-0.03355992564247533,-0.06846272123206339,-0.015479221626966556,0.002097049480869827,-0.13747298219815438,0.09322494754683053
1,0.05914635554155784,0.00042530953552542155,-0.011579916050308045,-0.008098811340619697,0.00267592480597388,0.008009396038766865,-0.015576274918585674,0.005287414531438995,0.01340811229671071,0.0065322895888229255
2,0.09764421659984997,0.652876937697729,-0.06207154310027926,-0.026386287112789213,-0.04790152141543784,0.0023946360587120546,-0.008901131429022578,0.003967620238304787,-0.005757675472637785,0.013695375632893976
3,0.12311081690572238,-0.009777303931371335,0.03096605444385863,0.01337031148176678,-0.012356799709331488,-0.060446858976388566,-0.020104337763226968,-0.03231888394054842,0.006289061556976879,0.0022956613746554174
4,0.06991365670211915,-0.009487086566717375,0.49981787221448754,-0.07834312415392085,-0.6511592008789976,0.25457447405083017,-0.12071446145320537,0.3497109033411742,0.05071723606004185,-0.18928038268157707
5,0.22299343074775085,-0.020152019248458643,-0.048635417315121075,-0.09844967834863874,0.030032595625277235,0.07916356084463674,0.020931767147121114,0.019064346715297564,-0.006665439913105972,-0.018198724600136572
6,0.10947844460727807,-0.01249899979567404,-0.025234418792600057,0.0615678882219404,-0.02349258557106044,0.010219776435426766,0.03508159445163851,-0.003501571549249265,0.025266067060223222,0.009077854710856752
7,0.07415587717193564,0.012325560976626262,0.13136757683022743,-0.0324749250824656,0.009170562954420536,-0.0584084576345372,0.060539379788528615,-0.06295242759001718,0.1578072629811314,0.18021512386226746
8,0.08481366332655596,0.016547176006866747,0.14550307752798713,0.13152886919035167,0.16171662767180023,-0.0010637745466468543,0.007042178945153023,0.15334058775800882,-0.04224146141360886,-0.015769006533258852
9,0.06504412331978364,-0.00033688482187699097,0.03716623550929731,-0.015363043286671556,0.00020878947948716557,-0.018009244453928864,0.017603643564583694,-0.01686887505323657,-0.03140161989455965,0.0350706261243474
10,0.11069856508536306,-0.00427996352884683,-0.008040538953856433,-0.0006022485319229741,-0.009461040957476012,-0.04304862652695284,0.019117114008177335,0.007065180674662568,0.009068866365536863,-0.014927368659494131
11,0.2026351072221572,-0.009586620458572769,0.018449904775915144,0.034702629854806065,-0.004602605751011834,-0.04381158238045922,-0.06276026698352703,-0.01709313483079147,-0.014810414826221812,0.05685721546536141
12,0.09577720919746505,0.0289368247525945,0.14126042455706983,-0.07914849562199544,0.11932712177979014,0.16323761383867103,0.016496517009661395,-0.3370454973381066,0.0238384328925891,-0.280812085267656
13,0.3053578640634984,-0.02568328552742559,-0.007798509670053606,-0.037689983127632734,-0.01678086383557791,-0.06145299486868366,0.03864214999031815,0.027609322494303222,-0.0015417636824284196,-3.0385684172226778e-05
14,0.08678192635383111,-0.00013546957814964414,0.026761728896956917,-0.07473491986219563,0.03160656913693766,0.03431248323514792,0.07310293714225777,-0.046063446950965946,-0.0006624941009569359,-0.06115282305421599
15,0.2957961411502821,-0.026087088737195174,-0.022450170190550414,0.025406491751205528,0.018269397927135965,-0.021789355739991526,-0.11274052284646263,0.012400839555677475,-0.011198904498917753,-0.004653449859920237
16,0.28937650091433875,0.01301347512902741,0.14657706679614574,0.2212406522382533,-0.02619378418060549,0.009476915363874534,-0.2251704423529817,-0.2006506043388932,0.02476398416826684,-0.07557413838480576
17,0.07062738125482056,-0.002863174032843,0.10817100614220733,-0.034030462620835394,-0.07903042286164941,-0.021123735836445112,0.03015432846690693,0.013888061897981207,0.09599380703049902,0.041662804081917935
18,0.21682197105483708,-0.03211970448213817,-0.09559785292011641,0.26230658326952283,-0.10306037945852528,0.14161820897501964,0.18271839428379164,-0.03464109413577861,0.05273555500687392,0.014165433906744232
19,0.1037007014951068,0.003990582039320756,0.1871188576268845,0.0091869181462542,0.07144075061212449,0.011587068594862599,0.01867936866269843,-0.05829201017384555,-0.2544516690233062,0.12356626771200017
20,0.31511089330899056,-0.04079322300925406,-0.08584675794814778,-0.05629055461953545,0.0338756439776168,0.10677900577880121,-0.09683330459082712,0.04570918361354425,-0.00949488016771839,0.037718931592639775
21,0.12258668829132938,-0.010066805032996062,-0.01583795367198634,-0.009356293973665738,0.001135212730660787,-0.011918060467664653,-0.021147967004431934,0.01132898088321826,0.023085918732341608,0.010391131213511708
22,0.20342937325858773,-0.018700152316637405,0.0010433363010266953,0.0417339655431176,-0.026612683599516563,-0.12284681563342774,-0.04529117545753467,-0.03221603363077603,0.0003228884365618458,-0.10133367286772975
23,0.18084798046403772,0.03590567429225361,0.10047873633104706,0.08397129549348853,0.05538457353946903,0.11740297859727859,-0.07133575595731365,-0.14324415918666697,-0.021299850908497852,-0.01802013677671726
24,0.07776956705365425,0.06164763430633417,0.2083388621800702,0.11283248548720387,0.3410201735410811,0.10384798598368997,0.04999384297366273,0.20384223083639746,0.11780288020966047,-0.07685599922982883
25,0.1576897099129448,-0.0078049441303114685,-0.02878135675624398,-0.02736235689737986,0.02862813015486578,0.0293603676443555,-0.10986244809943443,0.019368779672563088,0.11103979251704128,0.011283948943312378
26,0.09227556120543522,0.012065841088223324,0.13462811494865373,0.013133697557623064,0.00573749205694025,0.014131934083706844,-0.014409565204815683,-0.03876440972132545,0.008014331824948887,0.048626000977605256
27,0.028779579005979144,0.0009627571110243219,0.002376461375587981,-0.0044399177795475114,0.0005732544103913066,-0.008622298138020032,0.0060057494465886084,-0.0020873898527067657,0.011000200572555368,-0.0014847764427768787
28,0.089351777203447,0.010321094094024192,0.05306694638536897,0.04911727819566161,0.06544019985914852,-0.030587290839091712,0.016682657354773704,0.07093840320459448,-0.0030549814840934485,-0.010281910737569485
29,0.0868759821840483,0.03577947951557052,0.23441061895443824,0.25172916666500067,0.3280609273814277,-0.019401433763372715,0.03543004273337617,0.3295879761404149,-0.051632790091543194,-0.07269048675881708
30,0.09587556093830085,0.4996195602305348,-0.03555152179538237,-0.015236094249781708,-0.02940598418369834,-0.00598534624973654,4.9166684270631e-05,0.004768509572422338,0.004272059460601304,0.01487994300918844
31,0.27513604048556467,-0.02138423882027138,0.014714032473627714,0.039109257914652494,-0.028210299121209776,-0.10531442933329714,-0.023792736609417813,-0.01920297182457344,-0.01615461563791736,0.00818138189230347
32,0.09760528925215202,-0.006661774875252163,-0.01651253403365014,-0.053530511443348056,0.011021582064121205,0.026541933508150078,0.024085572485585117,0.018710104310434596,0.0029608711807414287,-0.018174158898468705
33,0.08844407512429651,0.014887643347387668,0.11133331904637912,0.01893618371289298,0.05068718545087108,0.06780050691079187,-0.025003487103232833,-0.11033048036484329,0.016059849561250932,-0.037950072509687315
34,0.14854701809144333,-0.0004418527063360854,0.1774976956170985,-0.13763141378355095,0.021679026819480172,0.13820814819285573,0.059670708177075725,-0.09018834436159204,-0.21429239647266257,0.07415050839737088
35,0.3051032759911967,-0.033263532201994656,-0.07700616335271081,0.18333079606335156,-0.08918255660289562,0.06813953529812289,0.12666544163702695,-0.024854364202362055,-0.03293941745700495,0.038719451061541864
36,0.040697336770733145,0.023823644926651903,0.05099831878909913,0.007043969842904033,0.046828701991663196,0.03214921168207506,0.01252454097521062,-0.029397155941426445,0.03210266838786686,-0.011534313853024494
37,0.1113642613267875,-0.007231609178169043,0.1663524341263944,-0.016262741926139978,-0.05163106401136949,0.05401465126637602,-0.02804120791395543,-0.012279651508423235,-0.1479624650368432,0.09664050052467146
38,0.22980596087208116,-0.028382026805914843,-0.02969470089422632,-0.0004084080069285038,-0.004616202094675178,0.03207509726105608,-0.03396047401647866,0.02708155682876776,-0.09978591355236778,0.08491985497634744
39,0.2864603386106865,-0.011523983733438936,0.025113880081200482,-0.08733520640274185,0.003470190953039995,-0.033271172101459114,0.10325427244133958,-0.01986827854685497,-0.05038040732277351,-0.04503616500394403
40,0.05364264683987849,-0.00232492265004238,0.008033362534246129,-0.0010874450052854338,-0.006462705970620905,-0.03358893725134396,0.011177679928787891,-0.003679599846175245,0.019321442810638537,0.006217650247080796
41,0.1688127856149633,-0.014686918391750438,-0.007743507339147109,-0.01923373609789397,-0.0027138686043909795,-0.015982289469390346,-0.0014689787735649978,0.00736712324712801,-0.030819308757076926,0.02346107145494544
42,0.1828685925737009,-0.015457885759133925,0.05648040545327374,-0.0480366591689251,-0.010704009532922457,-0.06479293261291706,0.05625695810797017,-0.0058652463281946825,-0.05417948517655576,0.025775717278372978
43,0.12715439751273355,0.7062658826143363,-0.02251089990648761,0.019183154105415386,0.0194104729672188,0.0010677119249659617,0.0013696760329897464,0.06638815054110446,-0.0032160713995381764,-0.0032918224251023
44,0.1762121486956059,0.0005963752822472255,0.015225287562908734,0.026758378778635707,-0.020149183076010043,-0.08296147119797197,0.027334039037341017,0.002980708659799861,-0.027178138668142438,-0.007040777249939815
45,0.11239048839839086,-0.004179985646123568,0.003257891229134958,0.02269392436017847,-0.019989436621420446,-0.08639605248181037,-0.0129298922268295,-0.014380624008003166,-0.013996290878286353,-0.08683685712918837
46,0.10409187355632989,0.0040100054922219104,0.057989771638691213,-0.12666946250781097,0.0718152961434082,0.0952072717901319,0.12651647677358996,-0.10344713733868438,-0.009022556065018594,-0.1263249474942546
47,0.27052190545587396,-0.024605210437459276,-0.023400401498774284,-0.08680213672205572,0.01977171104672706,0.010823983158895486,0.04213218567664238,0.01947286043746909,0.024510060539703487,-0.037475525553353255
48,0.29834437848970685,-0.0327067377849899,-0.06422556900059496,-0.044422882834312824,0.011351471113326801,0.047130149608221726,-0.006970248564644296,0.05041204225310308,-0.021732648762445156,0.012448127405707396
49,0.05454721997231575,0.0005421044957682037,0.028565154097377567,0.02074206088660551,0.006379488674174495,-0.00559270722322288,-0.03199228192675102,-0.04107135067713275,0.0234957062845255,-0.0141773233164711
50,0.11783787004151677,0.0037042279598913383,0.05806808905053852,0.00010746875031359223,-0.001528337647230385,0.014494454713294833,-0.003919345402831462,-0.015428456368485131,-0.11980753877022367,0.05594300826846253
