Cluster_ID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
0,0.2023226433985012,-0.018702181030839427,0.03143748497986425,0.02071510807220159,-0.06360154234914084,0.05265574036948085,0.1734024142123466,-0.07950553841670874,-0.11414147656410435,-0.06987611593036173
1,0.10962700417621077,-0.007339203537607833,-0.02122219847924967,-0.03828358137485861,0.012469184156098654,-0.002616138658291018,-0.013495974923437695,-0.015226050914505396,0.011846003884787073,0.004948342982494432
2,0.13938949146838533,0.6619802841271952,-0.0259804276250738,-0.006108223754492099,0.004056799648503366,0.0606181732032448,-0.06099617536027283,0.04566907534021943,-0.009677189095198433,-0.01960171457783313
3,0.08857274811263495,-0.0011714684254537115,0.02839084793917342,-0.044086209798942594,0.040245502939034984,0.004505583044098669,-0.02747014362888956,-0.033449248959582636,0.042997597434115645,-0.0026118569664349387
4,0.35662068952348436,-0.041188590665376494,-0.08120238185956166,0.04529372095967778,0.08928893753697735,-0.00043498572318662266,-0.07743418419084996,0.04592607333862097,0.007507705084395877,0.025314077025494285
5,0.09651786769040596,-0.003910158396778707,0.01595217210950756,-0.03558976598670182,-0.034162346378037424,0.042125717071608074,-0.02095789244689922,0.03158620198194177,-0.005068724534074249,0.001919766979403044
6,0.16213233155768025,-0.015876572124898916,-0.006543573748072619,0.033304904314993965,-0.10773757058486812,-0.08073355370498331,-0.028076396477417737,0.004806427041892907,0.028991389155180174,-0.08710792971117186
7,0.14931582229621412,0.03509285037370135,0.20711641237726158,0.16185398003814705,-0.025309597768458057,-0.05571035976912694,-0.1026964096222485,-0.13254274337794397,0.03854024756797314,-0.0205870630257519
8,0.18411416349313323,-0.01142586324874746,-0.04747429256283578,0.06076498867727856,0.03808171007491444,0.06878993351290744,0.03297554204198358,0.00392643308777686,0.025950923685614226,-0.04149732665567538
9,0.08086299252867292,0.020563873652255833,0.20791098433101945,-0.11380968937193321,-0.24757761718084362,0.46721078344229405,-0.2842779995073388,0.34296078800663427,-0.09602602545375964,-0.1272439152055399
10,0.13361064320338373,0.015827806081052453,0.10485943438772875,-0.0011562287281441312,0.017026257392093746,-0.012560864722985378,0.06581536457408566,0.034803787308143916,-0.05777471066428989,0.013538305583086732
11,0.16235324158388315,0.003516211423620675,0.29611214289944804,-0.03484359558297533,0.22789158337310303,-0.1522355604539012,0.04925280495459453,0.15622596544013176,-0.14704777500228605,-0.13297896149038635
12,0.18832794049290982,-0.030031108492359466,-0.04603219325849296,0.040522700929444135,-0.0005008486866607252,-0.010416309158642367,-0.00012195247318305868,0.06895202035640223,0.0012747433883976195,0.040762304205548786
13,0.058887736496298825,-0.0024160389165843064,-0.008199186504807714,-0.024650197137304965,-0.005822017990975704,0.001010834638522041,0.002153889228293676,-0.0101583766857086,0.013799420327374438,0.008615326314954475
14,0.27067366399733506,-0.03370446108627216,-0.011622163554231022,0.09112490165770672,-0.17002731591970732,-0.15239002688637274,-0.06597362614469232,0.019614733130036286,0.038344763195236935,-0.16117481542045528
15,0.128158369604645,-0.01813661635367268,-0.04566045031557582,0.04613728945547795,-0.0015694299297692998,0.0003280882261327441,-0.02375882403144991,0.05558824814117733,0.049356653148081304,0.038615034372517114
16,0.0615483595820407,0.002734887678078131,0.1143724033358477,-0.03161574187972681,0.050388205475070356,-0.028095385699686302,0.033528992420290685,0.068921097090896,0.01079018879669442,-0.013473356805706521
17,0.16615508242613092,-0.00701598313948218,0.008227929553522964,-0.02393861018432274,0.07155055068254466,-0.0001834424707282227,-0.028188531409564895,-0.040429938088261716,-0.052449241133018194,-0.04142794205817075
18,0.06617607245891094,0.023322139894698998,0.11441126375940033,-0.014096045114087059,-0.00046611466840835975,0.14703469174128816,-0.15021457366061938,0.033933248931909576,0.011584613783563355,-0.02161042583829628
19,0.10895508775394311,-0.009445937127484887,-0.006129985147654246,-0.006931987177825867,-0.022728595075038032,0.022083459528161396,0.04813226809299347,-0.02596442064076121,-0.020281040130403778,-0.01134221041237584
20,0.09189251715679685,0.0007207476328254746,0.013106196976195517,-0.01779598258956551,0.08571326563059779,-0.007775936335797632,-0.06581723263608703,-0.04266108669727505,-0.002364847839271426,-0.04384537674370077
21,0.06367233388015858,-0.00641229947135195,0.2503582018091494,-0.12893824998591005,0.12090411989290857,-0.17325150219694319,0.28842947745671943,0.2668851141028965,0.3493862518881216,-0.1721807658229601
22,0.11302500108840523,-0.007660217016979725,0.0061549843502395835,0.026988276267946358,-0.0156397033650693,-0.035087377329386014,-0.011602420686352043,0.028852756912772882,0.02084695231650369,0.0770022260617392
23,0.26769333337156914,0.06067885312627713,-0.01262438167752238,-0.06055022978682628,-0.06599927639851384,-0.04566825100249535,-0.05893880249346987,-0.05245900923011595,-0.11521277667661806,0.015544473687739714
24,0.15311180338894165,-0.01010738807189919,0.010024179066166388,-0.07974716111748678,-0.01735395462194633,-0.003067248137129738,0.009110736136017332,-0.019866135596422033,0.023368314429681757,0.04070777656119887
25,0.27226199422036323,-0.01974620641756367,-0.016614372625354958,-0.04467192300739759,0.0373143294682372,-0.008358352019408165,0.00234103419362763,-0.016017796888295275,-0.06066280383400547,-0.006105076800761946
26,0.11300597235643323,0.353236894266146,0.042864072322130686,-0.0001019350498321216,0.032668310457724135,-0.013143160443684923,0.0038503389463921,-0.008846040791343554,0.011172613972512412,-0.002937936927446543
27,0.15595278545511335,0.026592079053022705,0.12721304273178033,0.08664095243371743,-0.028107672212604243,-0.0038380078332602642,-0.01612479299375125,-0.09503711839039784,-0.016489573600456865,0.03920541093551493
28,0.12659453777719867,-0.005256797292514132,0.012762653364723753,0.004717710309882753,-0.04947807313008388,0.03469125889816152,0.09252714618841443,-0.04706420692381892,-0.057979347583109166,-0.029677407284796876
