speech,top_keywords
28,"γιαννοπουλ, πολυτεκν, αριστερ, συνασπισμ, ειπαμ, διαθετω, καταλογιζ, φαντασι, δημαγωγι, ερμηνευτικ, χρηζ, πιο, προωθ, φθην, θες, κουβελ, συνιστ, μεταχειρις, κατανοης, επιχειρημ"
29,"βουλευτικ, εκλογ, κρατικ, εκθες, 1989, επιχορηγης, 18ης, 1443, οικονομικ, ενισχυς, εσωτερικ, 1000000000, 84, ευρωεκλογ, χορηγειτα, περιληφθ, δηλωνω, προτεινετα, ισχυους, ειδικ"
30,"ελεγκτικ, φταιν, αγνοι, οργαν, μερικ, καταναλως, ματαιω, ξενυχ, συναρμολογης, υποκειντ, επεσημαιν, φκ, ανακουφισουμ, δικαιοσυν, υπεδειξ, μαται, αποδιδουμ, καταλογις, χαρτοσημ, υπερημερι"
31,"αιροντα, εκφωνης, σκοτινιωτ, κρατηθηκ, κρατηθ, θυμαστ, εναρξ, ψηφισουμ, απλ, πασοκ, πλευρ, μπορουμ"
32,"1130, προεδρος, παρεσχ, 1800, ζητηθεις, λυετα, 1989, 21, νοεμβρι, εξουσιοδοτης, συναινες, γραμματ, εκλογ, τριτ"
33,"διζ, απευθυνθ, προτιμω, απευθυνετα, εξουσιοδοτης, δοθ, ενημερως, πας, απαντης, προβλημ, περισς, περιπτως"
34,"μετακινης, επισημανω, σταματης, εκλογ, τουλαχιστ, υπαρξ"
35,"επεκτεινομα, ακουσετ, ησαστ, γινοτ, επεκτας, προεδρει, δειτ, επρεπ"
36,"ηπ, οη, φυσικ, κυπρ, στας, διεθν, προσχηματ, συμφεροντ, ζητησουμ, ελλαδ, πουμ, ενεργει, επενεβαιν, λατινογεν, διαφορ, υπηρετησατ, επεμβας, υφες, παναμ, δολοφονηθηκ"
37,"γιατρ, γενικ, στενοχωρ, ισχυρισθηκ, παθολογ, ευσταθ, ερωτ, μυτιλην, καθιερωθ, παραπον, ακου, θεωρης, αμοιβ, κινητρ, καθεστω, προηγουμενως, πραγματικοτητ, γεγονο, φυσικ, αποτελ"
38,"συμβας, κορακ, οργανισμ, ερωτωμα, υπογραψ, 165, εποπτει, μετ, ασκ, 73, συμφερ, αναφερ, δια, μονοπωλιακ, 85, κρατικ, οικ, οντως, προσφορ, κρατ"
39,"επεκτεινεστ, διζ, επεκτεινοντα, αναφερετ, σταθμ, περ, περιεχ"
40,"αυτοκινητ, κατοχ, εκτελωνιστηκ, εκτελωνισμ, εκτελωνις, περιπτως, πληρως, ιδιοκτητ, τελ, υποψ, κατεχοντα, μεταβιβαστηκ, 0497της, αποκλεισθ, καταβαλλοντ, υποχρεωνουμ, προφανως, κατασχεθ, συνεληφθης, αποδιδοντα"
41,"καλαματ, υποσχεθηκ, ζολωτ, ψηφισμ, σουφλι, αντιμετωπισθ, συντονισμ, αναφερετ, ειδατ, οικονομικ, προωθης, προχθ, κουβεντ, λοιπ, ευρ, υπουργικ, δημ, γνωριζ, ισως, ενδιαφερ"
42,"σκεψ, καφεζυθεστιατορι, 0509θέτει, ξενι, ναυπλι, ζητηματ, ξενοδοχ, ψηφισμ, κυριως, ρουσφετι, εοτ, σωματει, επικρατ, διορισμ, παραχωρης, απολυς, ανησυχι, ομοφων, ιδιωτικοποιης, τουριστικ"
43,"θες, περα, ανοιχτ, φυγ, βας, αποφασις, λα, παραβυστω, διακηρυχθηκ, παψτ, δεσμευσετ, φιλειρηνικ, κρυπτω, στηριξαμ, εμμεν, δυναμ, ζολωτ, ελληνικ, ριξουμ, παρατειν"
44,"βοηθει, θες, 10, τουρκι, πλευρ, επρεπ, συνασπισμ, ανεκοινωθης, απογυμνωνουμ, αποδυναμωνουμ, κρυσταλλιν, ξαναστηλωθ, βαρσοβι, 30ης, ελλαδ, σταλινικ, αντιστρατευοντα, μιλης, κρατησατ, νομιμοποιειτα"
45,"κορακ, λεσβ, αναφορ, γιαννελ, διαταξητ, δρεττακ, ζητειτα, εληφθης, εισερχομεθ, μυτιλην, σαμ, κωστοπουλ, χι, επιμελητηρι, πιστως, συλλογ, εμπορικ, περιορισμ, εξαιρες, κατεθες"
46,"ομοφων, 1703, μισαηλιδ, διατυπωνοντα, 87, μισθως, κατοικι, εισερχομαστ, αρχην, διαρκ, τροποποιης, συζητησουμ, εκθες, ρυθμις"
47,"συνδικαλιστικ, συλλογικ, εργαζ, διαπραγματευς, απεργι, εργασι, εργοδοτ, συμβας, γενικ, οργανως, παρατηρης, ελευθερ, διαιτησι, τονισω, ακομη, εφ, ελεγ, κρατ, κοινωνικ, εμπειρι"
48,"ευνοικ, εφαρμοζετα, ενοτητ, εργαζ, αποδοχ, λοιπ, δινουμ, συλλογικ, πιο, περισς, μειν, μοναδ, φτανω, συνθετουμ, συρρο, δικαιολογησω, συμβας, τριβ, τολμω, εργασι"
49,"0906, σημασι, χρηματ, μιλησαμ, απογευμ, χρησιμοποιουντα, υπευθυνοτητ, διαδικασι, δημαρχ, λειτουργικ, φτας, κυριαρχ, αναμεσα, εσοδ, κοινοτητ, δημ, δαπαν, σελιδ, προχωρης, διαφορ"
50,"δρχ, συνεδρι, ελεγκτικ, 1988, δανεισμ, εκθες, δημοσιονομικ, επληρωνοντ, λιτοτητ, σελιδ, παρατας, 465, αποκαλυπτετα, δανεικ, καταστας, αποκαλυπτ, 1985, δαπαν, εσωτερικ, δημοσιοτητ"
51,"εννοειτα, γεννηματ, δημιουργουμ, κλεισιμ, μειζ, εξηγης, δωσετ"
