Similarity,Member A,Member B
0.32498184793742874,αναγνωστοπουλου πετρου αθανασια (σια),αντωνιου βασιλειου μαρια
0.32476090976060323,κωνσταντοπουλος λεωνιδα γεωργιος,σκουλας γεωργιου ιωαννης
0.3232090543355894,δαμανακη θεοδωρου μαρια,σωτηροπουλος νικολαου βασιλειος
0.3223400915147015,δρεττακης γεωργιου εμμανουηλ,σγουριδης σγουρη παναγιωτης
0.32215591468286386,παπαδελλης γεωργιου φραγκλινος,φιλιπποπουλος λεωνιδα αθανασιος
0.3205533685275892,κατσωτης περικλη χρηστος,παφιλης σπυριδωνος αθανασιος
0.3184274499240455,κουτσουκος δημητριου γιαννης,παπαρηγα νικολαου αλεξανδρα
0.3183595552360009,δραγασακης ανδρεα ιωαννης,κρεμαστινος θωμα δημητριος
0.3172086024933151,καλαντζης κωνσταντινου γεωργιος,νικολαιδου αρισταρχου βαρβαρα (βερα)
0.31699193415806426,ανθοπουλος ευσταθιου ιωαννης,παντουλας χρηστου μιχαηλ
0.316892535702752,ζηση αθανασιου ροδουλα,νακος σταυρου αθανασιος
0.31614781489002336,δραγασακης ανδρεα ιωαννης,νικολαιδου αρισταρχου βαρβαρα (βερα)
0.31512127366503956,αρσενης διονυσιου γερασιμος,μπρατακος ιωαννη αγγελος
0.3149108045448644,κορακας χρηστου ευστρατιος,παφιλης σπυριδωνος αθανασιος
0.3145788637638421,σκουλας γεωργιου ιωαννης,φιλιπποπουλος λεωνιδα αθανασιος
0.31448921697542176,γκατζης φιλιππου νικολαος,διαμαντης δημητριου κωνσταντινος
0.3135050977111212,βρουτσης βασιλειου ιωαννης,μελα παυλου παναγιωτα-ευα
0.313251323160374,μπουτας θωμα ευαγγελος,ρηγας γεωργιου κωνσταντινος
0.3125189632439543,μητσοτακης κωνσταντινου κυριακος,ταλιαδουρος αθανασιου σπυριδων
0.3122525044739162,αβραμοπουλος λαμπρου δημητριος,σκουλας γεωργιου ιωαννης
0.3113837590928383,καμινης βασιλειου γεωργιος,τσιαρας αλεξανδρου κωνσταντινος
0.3111384181007066,ξανθος γεωργιου ανδρεας,τιμοσιδης ιωαννη μιχαηλ
0.3085240533236619,μαρκοπουλος αθανασιου κωνσταντινος,παπαρηγα νικολαου αλεξανδρα
0.3084327530255846,νακος σταυρου αθανασιος,τσαλδαρης κωνσταντινου αθανασιος
0.3082832380866559,βλασσοπουλος νικολαου ευαγγελος,σκουλας γεωργιου ιωαννης
0.3071522747863864,πετσαλνικος ιωαννη φιλιππος,τσιαρας αλεξανδρου κωνσταντινος
