speech,top_keywords
0,κηλ
1,"κυβερναμ, σαν"
2,"184, 181, αναγκασετ, μεταθες, 55, 1989, ημερομηνι, 40, καταθεσω, προ, αναφεροντα, εκλογ, γνωριζετ, ανω, κατω"
3,"αθανασοπουλ, πεστ, εγγραφ"
4,τελειωνω
5,"ροκοφυλλ, κορων, ευθυν, ψηφιζουμ, συνειδης, συμφερ, 0142ρον, περιλαμβανω, συμφ, πολιτικ, ρημ, περιπ, πρυτανευ, τοιαυτ, κατηργης, εξαντληθ, παραπομπ, εφτας, αλλως, αξιοτιμ"
6,"εδ, απαντης"
7,"προκαλουμεθ, αναγκαζομα, σεβοντα, θυμομαστ, προσωπικοτητ, ενοπλ, προσεκτικ, λυπαμα, φθας, ειλικριν, ορι, δυναμ, ορις, θελ, ανθρωπ, ος"
8,"προσκομιδ, παρερμηνει, ανεπιτρεπτ, διαβασετ, λυπουμα, μιλους, περιμενετ, ακουσετ, συμπερασμ, εδιν, δινετ, βγαιν, εξηγης, χρ, κει, επαναλαμβανω, δειτ, ολοκληρ"
9,"κοσκωτ, παπανδρε, επιστολ, ενδειξ, ανακρις, λουβαρ, παραδεχετα, ανακριτ, 87, τραπεζ, απεκαλυφθ, προανακρις, παλλην, χαλικι, αποχρως, στοιχει, πετς, σημειωμ, 88, ανταλλαγ"
10,"τσοβολ, τελειωνετ"
11,"δηλωνω, δεσμευομα, απεναντι, πτωμ, αστραπ, ασκησω, ουραν, φοβατα, δηλ, συγκρους, ενστας, διωξ, αντιπροεδρ, εναντιον, ποινικ, εξ, ηρθ, καθαρ, καταθες, παιδι"
12,"κουρ, διακοψουμ, βοηθ, παρακαλους, εντυπως"
13,"στεφανοπουλ, τελειωνετ"
14,"φιλολογι, αποδειξ"
15,"ευθυν, συνταγμ, κουτσογιωργ, διακοπτετα, παπανδρε, θες, γνωμ, κινηθ, τελειωσω, πασοκ, πολιτικ, ανδρ, προσεξτ, γνως, συνεπει, δικαστηρι, πανε, ενεργ, ανηκομ, ανθρωπινως"
16,"ταξ, δημοσι"
17,"ξερ, γνωστ, λα, ελληνικ"
18,"311285, 3685, 2300, βαλυρακ, μετακινηθ, ανδρ, ερωτω, δυνατ"
19,"καταγγειλαμ, κυρκ, επανειλημ, συνεχισαμ, υποκλοπ, 1981, ρωτης, παρακατω, συζητηθ, αναφερθω, γνωριζετ, κοινοβουλι, ελληνικ, πρωτ"
20,αντιρρης
21,"πασοκ, συγκυβερνης, φανερ, πιστευ, στηριζ, επερωτης, μορφ, πηρ, προφανως, εκλογ, σημεριν, απλ, πλευρ, επ"
22,"διαβαστ, παρακατω"
23,"εγγραφοντα, εγγεγραμ, παραβιαζ, μιλαν, συγχωρειτ, παραταξ, ομιλητ, 12"
24,"0901, ζητηθεις, ενεκριν, παρατας, σελιδ"
25,"δεσμευς, οργανως, δασολογ, μεθοδολογικ, εγκαινιαζουμ, ξεκινουμ, ενθουσιασμ, συσσωρευοντα, μεταξυ, εγκαταλειποντα, μετατρεποντα, κατεπειγοντ, εξεφρας, οικολογικ, προβαιν, ακροας, καταληξουμ, αδιαφορι, φοβουμα, διαδρομ"
26,"76, 34"
27,"λυκει, παιδι, μαθητ, κει, πρωτ, 1771, δαμιαν, εξαιρουντ, κοταμανιδ, δευτερ, τριτ, διενεμηθ, δρεττακ, μοιρας, 88, λεντακ, γενικ, 54, 78, ειδικ"
28,"ρυθμις, μαθητ, λυκει, ερχοντα, κυρωσαμ, σκυψουμ, αθληματ, ολυμπιαδ, κουραγι, συμπληρωσω, αθλητ, ομαδικ, προβληματ, εκπροθεσμ, διαπιστων, πειραζ, πιθανοτητ, υποστηριζουμ, συμμετειχ, 1996"
29,"μωραλ, εισερχομεθ, δευτερολογι"
30,"εμπροθεσμ, ανισοτητ, πετυχ, επικρατει, ανισοτ, ισοβαθμισαντ, συνθηκ, διαφορετικ, προδικαζ, κατω, συμβουλι, λεκτικ, πολλω, στεκ, εκπροθεσμ, ομοι, συντρεχ, πολυδωρ, κρινετα, ρωτησω"
31,"φακελ, πασοκ, καθορις, προσθετ, κριτηρι, 2100, προσετεθης, σκουλαρικ, 1600, σηφουνακ, διαλεξ, επερωτωντ, πληροφορουμ, ιωαννιδ, διαχωρισμ, επιλεξ, αξιολογ, ατομικ, αξιολογης, περιεχ"
32,"καιγετα, μαγκακ, ελεχθης, διαμαρτυρετα, υστερ, φακελ, μεταξυ, πολλ"
33,"αρχισαμ, μιλαμ, σοβαρ"
34,"γιαννοπουλ, διαφορετικ"
35,"συμπαθει, φιλι, αμοιβαι, εκτιμης, συνεργασι"
36,"συμφιλιως, φακελ, ακρ, προκανουμ, ανιερ, κατεγραφ, ξαρχ, λα, επερωτ, εθνικ, προπαντ, αλλοτε, μιλης, συμμαχι, μπηκ, αποψ, προχθ, δημιουργ, αναλωθηκατ, αντισυνταγματαρχ"
37,"γιατρ, ιατρει, αγροτικ, καναμ, δωσαμ, ειδικοτητ, κεν, θες, φωτοπουλ, υγει, αφθον, συγκεκρι, στρατευσιμ, προσληψ, βρισκετ, δυνατοτητ, καιρ, διοικητικ, ροκοφυλλ, προσληφθ"
38,δημοσι
39,"αδ, πιαν, τηλεορας, οργαν, εκχωρους, παρενεβαιν, πηραν, 1730, συμβουλι, ραδιοφωνι, αδιαβλητ, φασμ, πνευματικ, ηξερ, αρει, παγ, ψεματ, επαιρν, καθηγητ, επικρατει"
40,"πρωθυπουργ, αυτουργ, παρακολουθης, ευπ, ηθικ, προσταγ, υπηρεσι, μπορους, νομικ, τσιμ, απορρητ, συμπεριφορ, ανθρωπ, σκανδαλ, πραγματι, ασφαλει, ωτακουστ, μυστικ, κατηγορητηρι, χερι"
41,"τελει, φρας"
42,"γνωριζετ, ακριτιδ, προανακριτικ, 1246, κουτσομπολι, εκληθης, απερριφθ, τριβ, ανεβηκ, αψογ, μετειχ, ακολουθηθηκ, χαρακτηρις, τροπ, ολιγ, μαρτυρ, αισθημ, οφειλω, 23, δωσω"
43,"αυτονοητ, πουμ"
44,κανατ
45,ελθ
46,"ενεκριθ, εοκ, συμφωνης, ειχαμ, ακομη"
47,"στεφανοπουλ, συντομευετ"
48,"προσθηκ, διαβας, εξηγης"
49,"εξαντλησουμ, πρωτ"
50,"ξεκαθαρισαμ, ξανασυζητησουμ, επανελθω, ψηφιστ, καναμ, μπορουμ, επ"
51,διαβασατ
52,"βορβορωδ, καταιονισμ, γραψετ, εκστομισετ, ψευδολογι, γραψατ, κατσαρ, σκεφθειτ, επειτα, εναντιον, αρχηγ, εντυπως, εκαν"
53,"ξαρχ, δημοκρατι, νε"
54,"αναγκασθω, πρακτικογραφ, γραφ"
55,"δικαιουμα, λεξ"
56,"διακοψατ, βεβαιωνω, εδρ, ημ, παντως, ος"
57,"1593, λεξουλ, οψεποτ, γκελεσταθ, εγκαλ, παραιτηθ, ασυλι, καταλαβαιν, ελθ, αλλιως, σελιδ, ερωτημ, υποθες, απαντης"
58,"ησυχι, ροκοφυλλ"
59,"φιμωνετ, 10, στομ, υπερασπιζεστ, παιρνω, χα, μεν, μιλησω, υποθες, δικαιωμ"
60,"απευθυνεσθ, ζαφειροπουλ, προσωπικ"
61,"εναντιον, σκιαζετα, προσβολ, βαρι, ελαβ, χωρ, επικρατει, μολις, δικαστηρι, συζηταμ, γνωμ, ανω, συμβουλι"
62,"αρνειτα, φιλ"
63,"συνιστ, διευκρινις, καλως, κανατ, προσωπικ"
64,"επιτρεπω, διακοπ, προκειτα"
65,"συνεχισθ, παπαδοπουλ, κοπ, αξιζ, συνεχιστ, πας, πλεον, περιπτως"
66,φθαν
67,"ινστιτουτ, αλλοδαπ, ποσοστ, διεθν, δικαι, ελληνικ, υπ, 070, 4431, 169, αυξομειωνετα, 172, 563, περιεχετα, 1964, 1977, συμπληρωνετα, αποδιδετα, 37, καταργουντα"
68,"θερμως, λυετα, ημερομηνι, φυγ, προβλημ"
69,ζαφειροπουλ
70,"σκοτινιωτ, καππ, δηλωθ"
71,"ρυθμις, ομοφωνι, υποσχες, διαρκ, συγκεκρι, αναφερετα, θεματ, εσωτερικ, δεδ, τελους, συμφωνητικ, ανειλημ, εκτακτ, πολιτει, υλοποιουμ, τσοχατζοπουλ, διατυπωθηκ, κατατιθετα, διατυπ, υποχρεως"
