speech,top_keywords
72,"δεσμευς, δημοκρατι, προεκλογικ, μονιμοποιης, κανελλοπουλ, εσωτερικ, πολιτει, νε, εδιαβας, συγκυβερν, νομικ, εκπροσωπειτα, χαιρω, ελθουμ, ρυθμισουμ, απαντης, συμπαθει, αντιληπτ, εκτοτ, ακουσουμ"
73,μητσοτακ
74,"μονιμοποιης, αυτοδιοικης, ματαιωνετα, τοπικ, οργανισμ, εργαζ, δεσμευετα, δηλωσω, εκλεις, νομοθετηματ, χρ, φερ, θεωρω, πασοκ, επ, ευθυν, πρωτ"
75,διακοψατ
76,"κηρυσσετα, περαι, ονομ, αρχις, διαλογ, ακους"
77,"ατυχης, αιτιολογησω, μπλεκ, λογοδοτης, αναγκαζομα, εμπλεξ, λιασκ, προσωπικ, παραιτηθ, 800, οικουμενικ, ευθυνετα, ζητησω, δωστ, μηχανικ, συνδικαλιστικ, αμοιβ, ειδαμ, λυπαμα, αρχην"
78,"εγκειτα, ατυχ, οικοδομ, καλειτα, συνδες, προχωρ, φρας, λαβ, επιτρεπ, απολυτως, ταξ, δυνατ, πανω, καταστας, σχες, προσωπικ, θεματ, θες"
79,"31, 11289, 4544, 6564, κανονισμ, εγκρινετα, συγκροτηθηκ, αποφας, 32, συγκροτης, ανακοινωσω, διαρκ, υπ, προβλεπ, τιμ, συμφων"
80,"εργαζ, μετρ, αυξης, ατ, προγραμματικ, τιμολογι, προβληματ, διαλογ, σταθεροποιης, λα, γυναικ, γνωστ, αγνο, ζητημ, διακηρυξ, αναμορφως, 3239, τεμπελι, προβληματικ, δηλως"
81,"προκειτα, επρεπ, αγορευς, πασοκ, ασχετ, περιπτως, ατασθαλι, διεψευσθηκ, ξεχασθ, ιδι, 5ης, διεψευς, επενεβ, αυτεπαγγελτως, διερωτηθ, επιχειρης, ανωμαλι, επεμβ, ακομη, σκεπτετα"
82,"αναπληρωματικ, κει, αδικηματ, κατισχυ, ειδικ, 802, ισαριθμ, υποστηριξ, δικαστηρι, κατηγορι, 71, υποθες, εκλεγ, κανονισμ, ενωπιον, 19, εκλογ, αραβοσιτ, παραπεμφθεντ, αντιστοιχ"
83,"μουσικ, ορχηστρ, οπερ, τεχν, δρχ, χωρ, πολιτιστικ, δινουμ, μερι, σκεψ, 11, 0106τί, αλαλ, συνδιοικειτα, κρατικ, ενδιαφερ, ελλειπ, οργανισμ, επιζ, γνωστ"
84,"αποσυρετα, εισθ, ομιλητ, δε"
85,"διαρρυθμις, πρωτ, 0112της, πετραιλοειδ, ανεβαινω, διευκρινιστικ, κυρωθ, εισηγουμα, οικουμενικ, τιν, μειοψηφι, ελαβ, ενωπιον, ιδιοτητ, περιλαμβανοντα, εμμες, μεριμν, ληφθ, καταναλως, στηριζ"
86,"μπουτ, 0124, αυτολογοκρινομαστ, παρατηρης, στερουμ, διατυπωσουμ, μπορεσαμ, φορτις, ελειψ, δυνατοτητ, ηρεμ, απαντω, διδ, αντιστροφ, ατμοσφαιρ, εμποδιζ, πολεμικ, καιρι, στηριζουμ, καταληγ"
87,"καλοκαιρ, αυτονομι, λαικισμ, ρολ, γνησι, παπακωνσταντιν, σαν, ατ, ονειρ, οικονομικ, οικονομι, 1985, πληθωρισμ, απεναντι, ανταγωνιστικοτητ, αυτοδυναμι, νυκτ, χρειασθηκ, ελλειμματ, συναινες"
88,"ερθ, συμφωνης, ανεξαρτητ, πλαισι"
89,"κατανοητ, θες"
90,"προσληψ, ημερολογιακ, συμπιπτ, προσπαθησω, θεσω, ρητ, τεθ, εκτας, αρχηγ, υποψ, μηπως, διαρκει, υπουργικ, χρονικ, αναφερετα, ισχυ, συμβουλι, προκειτα, περισς, θες"
91,"συγχωρειστ, απειρι, ξεναγης, σεμιναρι, ζητησω, αισθανομα, υποδοχ, προεδρει, ενημερως, σαν, δυνατ, λειτουργι, αναγκ, νε"
92,"μεγαλοφωνως, διεπιστ, σπυριουν, αναπτυσς, γνως, αρκετ, αποψ, ειδικ, οικονομικ"
93,"ευπρεπει, 135, μαθηματ, συνεχισουμ, απαντησετ, μιλησω, δικαιωμ, κανονισμ, βας"
94,"προηγ, πηρατ, νομοτυπως, κανονισμ, γεννηματ, θυμαμα, παραβιας, δωσατ, χαιρομα, καλως, εστω, μαζ"
95,"παναμ, οη, ηπ, εισβολ, χωρ, στας, σαμαρ, αποχ, πολιτικ, νοριεγκ, διεθν, λογικ, δικαι, διωρυγ, ναρκωτικ, σαν, δημοκρατι, αμερικαν, επεμβαιν, ψηφισματ"
96,"ανεπτυξ, ασυλι, επιχειρηματολογι, αρς, συμφωνουμ, αντιθετ, περιπτως"
97,"31121989, 1188, μαθηματικ, 12, συνολικ, προκειτα"
98,δικαιωμ
99,"εμπροθεσμ, κατεθες"
100,"1990, ιανουαρι, επικυρωθης, 12ης, 11ης, συμφωνειτ, λυσουμ"
101,"πετρελαιοειδ, μπουμ, ευθει, συμφωνης, παντ, συζητησουμ, περας, θετικ, παρατηρης, σωστ"
102,"αυτοκινητ, τζιπ, εισαχθ, κυκλοφορ, αναγνως, καταλαβουμ, φερατ, ευθυν, κανονικ, βγαιν, εξηγης, πληρων, εκτελωνισμ, καφετερι, αραγ, εξηγησατ, κυβισμ, πουμ, 400000, προλαβαμ"
103,"βελλικ, προοδ, συνασπισμ, αντικει, αριστερ, σημεριν"
104,"αγροτ, συνεταιριστικ, αναπτυξ, καπν, πασοκ, εοκ, εισοδηματ, ελλαδ, μετρ, δυνατοτητ, περα, γεωργι, αγροτικ, εισοδημ, λογικ, δρχ, γεωργικ, ζολωτ, αναδιαρθρως, συνεταιρισμ"
105,"καλλ, εισηγηθ, διατυπ, ομοφωνως, διορθως, διατυπως, διαρκ, εκθες"
106,"αυτοκινητ, κρατικ, προεδρι, κυκλοφορ, επιδομ, οδηγ, 157000, 5500, αθην, πας, απεσπ, οδδ, αποτολμησω, εφεδρικ, περιορισω, εισηγηθω, νεφ, τουναντι, αποσπωντα, πενταγων"
107,"ευτυχως, ακουσαμ"
108,"εταιρι, smith, 1981, μελετ, προμελετ, 1950, γραμμ, μετρ, λεκανοπεδι, οραμ, ολοκληρωθηκ, καταστας, περιβαλλοντικ, εργ, προβληματ, προτεραιοτητ, δεκαετι, προοπτικ, κοινοτητ, πρωτ"
109,απαντησω
110,"0763, εισερχομαστ, διαρκ, σελιδ, 10"
111,αναβολ
112,καταλαβαινομαστ
113,"90, σχετικ, επιλογ, 6290, δε, προεδρι, προοδ, συνασπισμ, αριστερ, 0781, 5290, αποστρατικοποιης, μετεωρολογικ, μιμμ, αλεξανδρει, αθ, παραμυθι, πασοκ, ακριτιδ, εργατουπαλληλ"
114,"πιστως, αιτωλοακαρνανι, στειλ, υπηρεσι, προ, εγγραφ, δαπαν, διαβιβασουμ, επισκευαστ, παρασχω, απαιτηθ, προκει, 21ης, διημερ, αθλιοτητ, εντοπιζετα, εμαθ, μεταβας, ουδ, ιατρει"
115,"υπ, 435, αποσυρετα, διατηρουμ, 69, κωδικοποιης, 70, εφος, σχετικ, ος"
116,"ανταπεργι, 1264, επιμεινω, ναυτεργατικ, ρυθμισθ, απαγορευς, ρητ, παραβιας, εκκρεμοτητ, λυσουμ, δικαστικ, σαφ, οργανως, αποκλεισουμ, χαλυβουργι, επιμειναμ, ζω, κατορθωσαμ, ανετρεψ, ειχαμ"
117,τελειωνετ
118,"ειδοποιης, απουσι, μπεχρακ, εισελθουμ, περιπτως, ανακοινωθ, ζητα, προεκυψ, εγκριν, εκτακτ, ανακοινωσω, επερωτης, αιτης, αδει, εξωτερικ, τιμ, δε, αναγκ, πρωτ"
119,"καταλογ, ψηφολεκτ, μπουγ, στηλ, εκφωνης, ονομ, χατζηδημητρι, ρεππ, προτιμης, συγκεντρως, κατοπιν, γραμματ, θες, ειδικ, δημοκρατι, υπογραφ, επεχ, ευκρινως, αρχετα, καταχωρηθ"
120,διαλογ
121,"τσοχατζοπουλ, πασοκ"
122,"διαφωτισετ, καπαχτς, ανεβειτ, διακοπτετ, βημ, ειδ"
123,"ξανακουστηκ, υβριζ, γιαννοπουλ, σταθμ, εντυπως, μετρ"
124,"ολιγοημερ, ας, αχαι, εγκριν, απουσι, παπανδρε, ανακοινωσω, αδει, γεωργι, ζητ, εξωτερικ, τιμ"
125,εκνευρισμ
126,"τεχνολογι, μπορους, ανθις, μηχανογραφης, δρεττακ, παρακολουθειτ, τσοβολ, συνηθις, εφαρμος, συγχρον, διαθες, προχωρης, επιτελ, υπηρχ, πασοκ, μετρ"
127,"συζητησω, ανορθοδοξ, απαντης, απηντης, απορι, διοικητ, ευθει, ικανοποι, κατοπιν, ερωτηματ, εκφρας, εξηγης, παντως, περιεχ, εγγραφ, πληρ, διν, εκτος, θελ, τροπ"
128,"ποττακ, παρους, μιλ, βγαιν, στας, επερωτης, απαραδεκτ, μελ, κανονισμ, δυστυχως, προηγ, πρωτ"
129,"υποψηφιοτητ, υποψηφι, απαλειψ, συνδυασμ, νομαρχιακ, διευθυντ, συμβουλ, ανεξαρτητ, 1144ήταν, καταπιεστ, αγκαλιασμ, προβλεψετ, σημει, αναπροσαρμοζοντα, 50000, επαναφερετ, καταρτιστηκ, θιξω, κατεβ, κλειδ"
130,"πασοκ, βαθρ, συνδικαλισμ, ησυχ, αγνωστ, ανθρωπ, καταγγελι, στηριζ, 1152τύχει, 22260, eισηγητής, ισουψως, κεκλ, κουτσουρευτηκ, νεοδιορις, νομισετ, ξεθεμελιωθ, πεσελιδ, σαγην, συμμαχητ"
131,"αποβλεπ, διζ, τελεσφορης, 150, γνωστ, δυνατ, προτας, δημιουργης, συμφωνι, εξορμης, ματαιωθ, αρνουμα, επιφανειακ, ματαιως, καταγγελλω, λα, δεχθω, επιδιωκετα, ατμοσφαιρ, επαναφορ"
132,"συνταξιουχ, αγροτ, παχυλ, εργαζ, διακοψατ, κατεβαζ, εξαιρεθ, διακοπτ, ατ, καταχρης, θιγ, υγι, μισθωτ, τονις, προγραμματικ, εισοδημ, κομμα, μισθ, εισοδηματ, χαμηλ"
133,"θετικ, συνταξιουχ, συνασπισμ, φορολογικ, παρασαγγ, μειως, φυσικ, φοροδοτικ, στοχευουμ, λεοντ, αλλοιων, χαμηλομισθ, ασημαντ, απεχ, μεριδ, αποβλεπ, ανισοτητ, βαρι, ολοκληρωνω, μισθωτ"
134,αρσεν
135,"κινητρ, προβλημ, κεφαλαι, κερδ, διανομ, θρακ, ελεγχ, γενι, γινοντα, ενοτητ, συνολικ, συγχωνευς, αναμορφως, ενισχυς, προβληματ, πραγματι, μεγαλ, αναπτυξιακ, φορολογικ, αποθεματικ"
136,"συγκεντρωνετα, ρουσφε, αθην, κοσμ"
137,"προστιθεντα, εδαφι, φρας, ερχομα, περιπτως, αλλαγ, 3323, απαλειφετα, 1955, 1388, αποσυρω, αριθμης, 1ης, αντικαθιστατα, 52, διαγραφ, εκτ, 1989, νοημ, 40"
138,κατσιμπαρδ
139,"σοβιετικ, καυκας, οδησς, ουσμπεκιστ, περεστροικ, σεβαστουπολ, σοχουμ, τασκενδ, τουρκμενισταν, τυφλιδ, 125000, 379, 000, ενως, ασι, μητρικ, εθνικιστικ, προσκηνι, 1979, αδελφ"
140,"βρεττ, συνεχει"
141,τελειωνετ
142,"αραβ, ισραηλ, αναγνωρις, ιδι, αραβικ, χωρ, παλαιστιν, παλαιστινι, σχες, ελλαδ, ομαλοποιης, αναβαθμις, κοινοτητ, ρολ, παιξ, αναγνωριζ, προκειτα, γραμματ, πραγματικ, προβληματ"
143,"ολιγοημερ, σταυρ, εγκριν, απουσι, αδει, ζητ, εξωτερικ"
144,επιτρεπετ
145,"υπεισερχετα, εκκρεμ, εγκαιρ, συνεπει, δοθ, αναφερετα, δικαιοσυν, ταξ, αρμοδι, ουσι, απαντης, θεματ, δημοσι"
146,"δικαιουσθ, μπαντουβ"
147,"τηρης, παρακαλεσω, επιτρεψετ, προεδρει, κανονισμ"
148,"παλαιοκρασς, ειχαμ, μετρ, καποτε, υλοποιης, αναπτυξιακ, προετοιμασθ, κοιν, λυς, εβγαζ, προσπαθω, προετοιμας, δρεττακ, οικουμενικ, συμφωνησαμ, δεσμευθ, απαιτουντα, 36, πηρατ, εμμες"
149,"πραγματικ, τροπ, καταφευγ, τροποποι, μεθοδευς, ελεγ, ασχετ, λυς, προβλημ, εβερτ, επειγ, καταλαβαινουμ, εισηγειτα, απευθυνομα, κανονισμ, πρωτ, νομιζουμ, ορις, στηριζετα, πολιτικ"
150,"κοντογιαννοπουλ, τελειως"
151,"αναπηρ, σεισμ, αποφας, περα, 1986, βεβαιωθεντ, 1981, ερχομαστ, ρυθμις, καλαματ, μεσσηνι, χρε, περιπτως, αυτοκινητ, δουμ, επιχειρης, εσοδ, υποκειντα, υπαχθ, μηνυς"
152,"37, τροποποιηθ, 36"
153,σηφουνακ
154,"εισηγειτα, προεδρι, 504νει, διατυπωνουμ, εκπλησσομα, απεσυρ, διατυπωσαμ, απουσιαζ, εκτοτ, παρακολουθουμ, νομοθετης, ρωτω, απευθυνετα, ηλθ, διευρυνς, τοποθετηθ, ελθ, νομαρχιακ, κει, σελιδ"
155,"εξουσι, νομικ, σημεριν, ξεπερας, δημοκρατι, κρατ, διαρθρως, αισθανετα, συμβουλι, ανασυνιστατ, κρατικ, κατατρυχ, κομματικοποιης, δομ, τροποποιης, αποκεντρ, μεθοδευς, πασοκ, ανησυχι, εκφραζ"
156,"καθοριζ, χρονικ, διαστημ, κανονισμ"
157,"τουριστ, μιλατ, σαν"
158,καταγγελουμ
159,παραιτουμα
160,"ευαισθησι, αντιληψ"
161,συμφωνουμ
162,"βρισκ, συμφων, θεματ, τιθεντα, περιμενετ, πιθανον, συμφωνησουμ, θελης, επιχειρηματ, απαντησω, ομιλητ, εφος, ρυθμις, αναπτυξ, πραγματικ"
163,"κανατ, μπροστα, πιο"
164,"επεξεργασι, καπνεργατ, χαραζουμ, βελτιως, βασιλακακ, ενδιαφερεσθ, βασικ, καπνοπαραγωγ, καταφερουμ, επιδιωκουμ, παραλαβαμ, καπν, αντιλαμβανεσθ, φτιαξουμ, καβαλ, εισοδηματικ, καλλιεργ, επιδιωξ, δω, επιτευχθ"
165,"μπαλτ, δευτερολογης"
166,γικονογλ
167,"καπνοπαραγωγ, καπνεμπορ, αποχωρησατ, υπηρετειτα, μιλαγ, ανεπτυξ, αδιαφορι, εδειξ, πον, λεγαμ, τονισω, παρακολουθης, υποχρε, ομιλητ, βαθμ, συμφεροντ, ενδιαφερ, πασοκ"
168,σγουριδ
169,"αστυνομι, συνδικαλισμ, προβληματ, αφηστ, βιασυν, αποδοτικ, λυς, φανερ, κυριαρχ, καταστροφ, αποτελεσματικ, εκαθαρις, ξαναβρ, σεισμικ, συνεταραξ, ανυπομον, παθουμ, τραυματ, φτερ, χρειαζετα"
170,"καρατομης, πολιτικ, σωματ, ης, ασφαλει, πασοκ, αποστρατ, κομματικ, εκδηλ, περγαμην, αντιστρατηγ, λαιμητομ, αστυνομι, εγγ, ματ, κριτηρι, πληρως, αξιοκρατικ, κλιμακι, σαν"
171,"κατονομασουμ, υπεισελθω, θες, παραβας, καταλληλ, κομματικ, δικαστηρι, θεωρω, εσωτερικ, πασοκ, θελ"
172,"θαυμασι, δρεττακ, γενικ, σεβομα, πολιτικ, συγχωρειτ, τροποποιης, απολυτως, μιλαμ, κανονισμ, αποψ"
173,"ενημερωθ, επερωτης, κανονισμ, διασκεψ, συμφων, επισημανω, αναφερ, ομιλητ, ανδρεαδακ, προγραμματισθ, μιλης, διαβασατ, θεματ, κρατηθ, προγραμματις, δικαιουντα, ρητ, παρακατω, κανονικ, συζητουμ"
174,"θει, διοξειδι, μαζουτ, αρτοποιει, κερατσιν, πεσουμ, επιτρεπτ, ανοδ, παρενθες, αντιμετωπισθ, πινακ, συνεχ, αλλιως, ενδεχομενως, τυχ, ιστογραμμ, περιβαντολογικ, ικανοποιησω, καταναλισκ, ντηζελ"
175,"εφαρμοσουμ, δεχετα, ενοτητ, συζητησουμ, κανονισμ, αρχ, ος"
176,εμποδιζ
177,"επιτρεπετ, διακοπ"
178,"κρινετ, παρακολουθειτ, απειλειτ, απορρητ, δικαιοσυν, διαφορ, μεταξυ, πασοκ, τραπεζικ, μητσοτακ, παρανομ, δημοκρατι, νε, αθωωνετ, παραποιειτ, προειδοποιηθ, πραγματικοτητ, αλωβητ, συζητησατ, εμπιστευομαστ"
179,"δευτερολογ, διακοπτετ"
180,"εισθ, προεδρει, υποδειξετ, διατυπωνω, αποψ, προτας"
181,"τομε, σφυρι, καζιν, συμβαλλ, αναπτυξ, τουρισμ, εθνικ, κερδ, επαναλαμβανω, δαπαν, κρουπιερ, συναλλαγματοφορ, υπερφορτωσατ, χωρ, αδηλ, απορριψουμ, αυτεπιστασι, παρνηθ, οικονομι, πουληθ"
182,"επενδυτ, επενδυς, αιτης, πρωτογεν, παμ, εξεταζ, αφορολογητ, ενιαι, ποσοστ, αγροτικ, εξαμην, επιχορηγης, μεταξυ, διαγωνισμ, κινητρ, περιβαλλοντολογικ, σημαντικ, 25, αυξανουμ, προβλεπουμ"
183,"αντιδρας, βλεπ, περιοχ, δρεττακ, παραμεθορι, ανακουφις, παρακολουθουμ, αρ, ανοιξ, ζουμ, μαλλον, κατοικ, βλεπω, βλεπουμ, δρομ, επιτελ, αντιθετ, ρυθμις, αναπτυξ, πολλ"
184,"ολμ, απεργι, συνδικαλιστικ, αιτημ, 18000, επιδομ, δρχ, εκπαιδευτικ, εκλογ, γνωριζετ, 1988, οικονομι, εισοδηματικ, δασκαλ, υπαλληλ, επανεληφθ, οργαν, πολιτικ, ικανοποιης, αρνηθηκαμ"
185,επιτρεπετ
186,"ελαιων, πυρκαι, πεχωδ, παρακλης, δας, αττικ, επιπτως, επακολουθης, πρωτοσυζητουσαμ, παρατηρης, 128, νεφ, απλ, 127, υποβαλλω, 129, κατετεθ, περιοχ, 131, ρυθμις"
187,"119, ιδι"
188,παντοτε
189,τελειωνετ
190,"ανεφερ, εξωτερικ"
191,"ξανα, προηγουμενως, μιλης"
192,φλωρακ
193,"κυπ, ανακριβει, διαταγ, διαβεβαιωνω, ημ, υπεστηριξ, ψωνιζ, χονδροειδ, αναξι, παρακολουθους, χονδρεμπορ, κω, γενναιοτητ, σχες, επραξ, κατευθυντηρι, ανακαλες, παυλιδ, εντιμ, εβγαλ"
194,"151, αμφισβητω, αναπτυξω, ακουω, χρειαζοντα, κυρως, συμφωνι"
195,"γραμματει, γενικ"
196,κωνσταντοπουλ
197,"αναφερετα, 215, 216, ειδικ, καταληψ, προσοντ, 14, 15, εκπαιδευς, υπ, ιδιωτικ, γενικ, θες"
198,"μερικ, παρατηρης"
199,κοτσων
200,υπογραφ
201,"επιτρεπετ, διακοπ"
202,"απαντησω, δικαιουμα, απηντης, ευθ, δωσατ, εθες, εφος, κανονισμ"
203,"διαβασετ, μπορειτ, κανονισμ"
204,"αμφιβαλλετ, ηγερθης, μετρησετ, απορριπτετα, γαλαν, πληροφορησω, συνταγματικοτητ, 39, 43, αντισυνταγματικοτητ, ενστας, κακλαμαν, αμφιβολι, προοδ, συνεπει, συνασπισμ, αριστερ, μπορειτ, αποψ"
205,"προσληψ, υπαλληλ, 40500, ερωτημ, πασοκ, 90, δημιουργησετ, κομματικ, υπηρεσιακ, νομοθετησετ, συλλογικ, κατορθωσατ, εκτακτ, λαζαρ, περασατ, τζαννετακ, προσπαθησατ, εγγραφ, εβερτ, μονιμοποιης"
